check_id,real_root_id,defect_degree_id,defect_beta_c1,defect_beta_c2,defect_beta_c3,pairing,serre_exponent,terminal_beta_c1,terminal_beta_c2,terminal_beta_c3,terminal_gamma_n,terminal_gamma_l,terminal_gamma_m,terminal_height,terminal_norm,terminal_signed_dimension,terminal_additive_m,terminal_in_base,relation_payload_status,proof_reference,check_status,notes
dlrs_delta_3_beta_0_4_3,delta_3,beta_0_4_3,0,4,3,-2,3,0,4,6,0,-2,4,10,8,0,12,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_3_0_3,delta_2,beta_3_0_3,3,0,3,-12,13,3,13,3,3,13,13,19,26,0,-85,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_6_1_3,delta_3,beta_6_1_3,6,1,3,-8,9,6,1,12,6,-5,1,19,2,1,-85,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_7_1_6,delta_3,beta_7_1_6,7,1,6,-4,5,7,1,11,7,-3,1,19,-38,-43200,-900,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_3_1_6,delta_1,beta_3_1_6,3,1,6,-8,9,12,1,6,12,7,1,19,2,0,2772,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_3_2_5,delta_1,beta_3_2_5,3,2,5,-8,9,12,2,5,12,9,2,19,-30,0,122890,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_0_3_3,delta_1,beta_0_3_3,0,3,3,-12,13,13,3,3,13,13,3,19,26,0,-85,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_1_7_5,delta_3,beta_1_7_5,1,7,5,-6,7,1,7,12,1,-4,7,20,-24,4016,-495,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_3_2_4,delta_2,beta_3_2_4,3,2,4,-10,11,3,13,4,3,12,13,20,-24,0,87723,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_4_2_3,delta_2,beta_4_2_3,4,2,3,-10,11,4,13,3,4,14,13,20,-24,0,27103,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_7_1_5,delta_3,beta_7_1_5,7,1,5,-6,7,7,1,12,7,-4,1,20,-24,4016,-495,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_2_3_4,delta_1,beta_2_3_4,2,3,4,-10,11,13,3,4,13,12,3,20,-24,0,87723,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_2_4_3,delta_1,beta_2_4_3,2,4,3,-10,11,13,4,3,13,14,4,20,-24,0,27103,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_1_7_4,delta_3,beta_1_7_4,1,7,4,-8,9,1,7,13,1,-5,7,21,-6,-64,594,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_1_4_7,delta_2,beta_1_4_7,1,4,7,-8,9,1,13,7,1,7,13,21,-6,0,-12786,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_2_4_6,delta_2,beta_2_4_6,2,4,6,-8,9,2,13,6,2,9,13,21,-46,0,331289,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_3_1_4,delta_2,beta_3_1_4,3,1,4,-12,13,3,14,4,3,13,14,21,2,0,-4642,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_4_1_3,delta_2,beta_4_1_3,4,1,3,-12,13,4,14,3,4,15,14,21,2,0,-2114,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_7_1_4,delta_3,beta_7_1_4,7,1,4,-8,9,7,1,13,7,-5,1,21,-6,-64,594,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_4_1_7,delta_1,beta_4_1_7,4,1,7,-8,9,13,1,7,13,7,1,21,-6,0,-12786,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_4_2_6,delta_1,beta_4_2_6,4,2,6,-8,9,13,2,6,13,9,2,21,-46,0,331289,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_1_3_4,delta_1,beta_1_3_4,1,3,4,-12,13,14,3,4,14,13,3,21,2,0,-4642,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_1_4_3,delta_1,beta_1_4_3,1,4,3,-12,13,14,4,3,14,15,4,21,2,0,-2114,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_1_8_6,delta_3,beta_1_8_6,1,8,6,-6,7,1,8,13,1,-4,8,22,-32,16524,900,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_2_3_6,delta_2,beta_2_3_6,2,3,6,-10,11,2,14,6,2,10,14,22,-24,0,-88555,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_3_0_4,delta_2,beta_3_0_4,3,0,4,-14,15,3,15,4,3,14,15,22,32,0,85,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_4_0_3,delta_2,beta_4_0_3,4,0,3,-14,15,4,15,3,4,16,15,22,32,0,120,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_8_1_6,delta_3,beta_8_1_6,8,1,6,-6,7,8,1,13,8,-4,1,22,-32,16524,900,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_3_2_6,delta_1,beta_3_2_6,3,2,6,-10,11,14,2,6,14,10,2,22,-24,0,-88555,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_0_3_4,delta_1,beta_0_3_4,0,3,4,-14,15,15,3,4,15,14,3,22,32,0,85,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_0_4_3,delta_1,beta_0_4_3,0,4,3,-14,15,15,4,3,15,16,4,22,32,0,120,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_1_8_5,delta_3,beta_1_8_5,1,8,5,-8,9,1,8,14,1,-5,8,23,-14,-513,702,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_3_2_5,delta_2,beta_3_2_5,3,2,5,-12,13,3,15,5,3,13,15,23,-22,0,-143423,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_4_2_4,delta_2,beta_4_2_4,4,2,4,-12,13,4,15,4,4,15,15,23,-30,0,51982,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_8_1_5,delta_3,beta_8_1_5,8,1,5,-8,9,8,1,14,8,-5,1,23,-14,-513,702,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_2_3_5,delta_1,beta_2_3_5,2,3,5,-12,13,15,3,5,15,13,3,23,-22,0,-143423,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_2_4_4,delta_1,beta_2_4_4,2,4,4,-12,13,15,4,4,15,15,4,23,-30,0,51982,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_1_8_4,delta_3,beta_1_8_4,1,8,4,-10,11,1,8,15,1,-6,8,24,8,0,-657,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_1_4_8,delta_2,beta_1_4_8,1,4,8,-10,11,1,15,8,1,8,15,24,8,0,-2859,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_2_4_7,delta_2,beta_2_4_7,2,4,7,-10,11,2,15,7,2,10,15,24,-40,0,-173135,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_3_1_5,delta_2,beta_3_1_5,3,1,5,-14,15,3,16,5,3,14,16,24,8,0,4742,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_4_1_4,delta_2,beta_4_1_4,4,1,4,-14,15,4,16,4,4,16,16,24,0,0,-2755,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_5_1_3,delta_2,beta_5_1_3,5,1,3,-14,15,5,16,3,5,18,16,24,8,0,-1115,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_8_1_4,delta_3,beta_8_1_4,8,1,4,-10,11,8,1,15,8,-6,1,24,8,0,-657,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_4_1_8,delta_1,beta_4_1_8,4,1,8,-10,11,15,1,8,15,8,1,24,8,0,-2859,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_4_2_7,delta_1,beta_4_2_7,4,2,7,-10,11,15,2,7,15,10,2,24,-40,0,-173135,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_1_3_5,delta_1,beta_1_3_5,1,3,5,-14,15,16,3,5,16,14,3,24,8,0,4742,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_1_4_4,delta_1,beta_1_4_4,1,4,4,-14,15,16,4,4,16,16,4,24,0,0,-2755,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_1_5_3,delta_1,beta_1_5_3,1,5,3,-14,15,16,5,3,16,18,5,24,8,0,-1115,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_2_3_7,delta_2,beta_2_3_7,2,3,7,-12,13,2,16,7,2,11,16,25,-14,0,43071,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_4_0_4,delta_2,beta_4_0_4,4,0,4,-16,17,4,17,4,4,17,17,25,34,0,135,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_3_2_7,delta_1,beta_3_2_7,3,2,7,-12,13,16,2,7,16,11,2,25,-14,0,43071,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_0_4_4,delta_1,beta_0_4_4,0,4,4,-16,17,17,4,4,17,17,4,25,34,0,135,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_3_2_6,delta_2,beta_3_2_6,3,2,6,-14,15,3,17,6,3,14,17,26,-16,0,137724,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_4_2_5,delta_2,beta_4_2_5,4,2,5,-14,15,4,17,5,4,16,17,26,-32,0,-292121,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_2_3_6,delta_1,beta_2_3_6,2,3,6,-14,15,17,3,6,17,14,3,26,-16,0,137724,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_2_4_5,delta_1,beta_2_4_5,2,4,5,-14,15,17,4,5,17,16,4,26,-32,0,-292121,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_2_4_8,delta_2,beta_2_4_8,2,4,8,-12,13,2,17,8,2,11,17,27,-30,0,-31884,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_3_1_6,delta_2,beta_3_1_6,3,1,6,-16,17,3,18,6,3,15,18,27,18,0,-1759,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_4_1_5,delta_2,beta_4_1_5,4,1,5,-16,17,4,18,5,4,17,18,27,2,0,9955,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_5_1_4,delta_2,beta_5_1_4,5,1,4,-16,17,5,18,4,5,19,18,27,2,0,6455,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_6_1_3,delta_2,beta_6_1_3,6,1,3,-16,17,6,18,3,6,21,18,27,18,0,-120,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_4_2_8,delta_1,beta_4_2_8,4,2,8,-12,13,17,2,8,17,11,2,27,-30,0,-31884,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_1_3_6,delta_1,beta_1_3_6,1,3,6,-16,17,18,3,6,18,15,3,27,18,0,-1759,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_1_4_5,delta_1,beta_1_4_5,1,4,5,-16,17,18,4,5,18,17,4,27,2,0,9955,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_1_5_4,delta_1,beta_1_5_4,1,5,4,-16,17,18,5,4,18,19,5,27,2,0,6455,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_1_6_3,delta_1,beta_1_6_3,1,6,3,-16,17,18,6,3,18,21,6,27,18,0,-120,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_2_3_8,delta_2,beta_2_3_8,2,3,8,-14,15,2,18,8,2,12,18,28,0,0,-23223,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_4_0_5,delta_2,beta_4_0_5,4,0,5,-18,19,4,19,5,4,18,19,28,40,0,-135,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_5_0_4,delta_2,beta_5_0_4,5,0,4,-18,19,5,19,4,5,20,19,28,40,0,-210,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_3_2_8,delta_1,beta_3_2_8,3,2,8,-14,15,18,2,8,18,12,2,28,0,0,-23223,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_0_4_5,delta_1,beta_0_4_5,0,4,5,-18,19,19,4,5,19,18,4,28,40,0,-135,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_0_5_4,delta_1,beta_0_5_4,0,5,4,-18,19,19,5,4,19,20,5,28,40,0,-210,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_3_2_7,delta_2,beta_3_2_7,3,2,7,-16,17,3,19,7,3,15,19,29,-6,0,-71729,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_4_2_6,delta_2,beta_4_2_6,4,2,6,-16,17,4,19,6,4,17,19,29,-30,0,515877,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_2_3_7,delta_1,beta_2_3_7,2,3,7,-16,17,19,3,7,19,15,3,29,-6,0,-71729,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_2_4_6,delta_1,beta_2_4_6,2,4,6,-16,17,19,4,6,19,17,4,29,-30,0,515877,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_2_4_9,delta_2,beta_2_4_9,2,4,9,-14,15,2,19,9,2,12,19,30,-16,0,103554,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_4_1_6,delta_2,beta_4_1_6,4,1,6,-18,19,4,20,6,4,18,20,30,8,0,-10405,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
